player_season_id,rank,similar_player_season_id,similarity
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,2,laliga_realbetis_romainperraud__2425,0.9923
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,3,superlig_caykurrizespor_tahasahin__2526,0.9916
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,4,seriea_cremonese_giuseppepezzella__2526,0.9911
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,5,superlig_bodrumspor_uzeyirergun__2425,0.9904
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,6,ligue1_nantes_kelvinamian__2425,0.9901
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,7,laliga_atleticodemadrid_javigalan__2425,0.9899
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,8,premierleague_crystalpalace_tyrickmitchell__2324,0.9896
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,9,premierleague_westhamunited_vladimircoufal__2324,0.9892
bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,10,laliga_alaves_manuelsanchez__2425,0.9890
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,1,superlig_antalyaspor_erdoganyesilyurt__2324,0.9926
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,2,premierleague_crystalpalace_tyrickmitchell__2526,0.9881
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,3,superlig_kayserispor_hasanalikaldirim__2324,0.9875
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,4,premierleague_bournemouth_adrientruffert__2526,0.9874
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,5,superlig_samsunspor_marcbola__2425,0.9870
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,6,laliga_girona_alexmoreno__2526,0.9863
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,7,superlig_antalyaspor_gurayvural__2324,0.9857
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,8,bundesliga_1fcheidenheim1846_omarhaktabtraore__2425,0.9854
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,9,bundesliga_fcstpauli_manolissaliakas__2425,0.9853
bundesliga_1fcheidenheim1846_omarhaktabtraore__2526,10,superlig_caykurrizespor_tahasahin__2526,0.9853
bundesliga_1fcheidenheim1846_patrickmainka__2425,1,ligue1_montpellier_modibosagnan__2324,0.9781
bundesliga_1fcheidenheim1846_patrickmainka__2425,2,superlig_samsunspor_rickvandrongelen__2324,0.9768
bundesliga_1fcheidenheim1846_patrickmainka__2425,3,superlig_antalyaspor_veyselsari__2526,0.9764
bundesliga_1fcheidenheim1846_patrickmainka__2425,4,laliga_deportivoalaves_abdelabqar__2324,0.9762
bundesliga_1fcheidenheim1846_patrickmainka__2425,5,bundesliga_borussiamonchengladbach_marvinfriedrich__2324,0.9761
bundesliga_1fcheidenheim1846_patrickmainka__2425,6,seriea_cagliari_sebastianoluperto__2425,0.9734
bundesliga_1fcheidenheim1846_patrickmainka__2425,7,superlig_antalyaspor_veyselsari__2324,0.9731
bundesliga_1fcheidenheim1846_patrickmainka__2425,8,seriea_empoli_sebastianoluperto__2324,0.9726
bundesliga_1fcheidenheim1846_patrickmainka__2425,9,laliga_almeria_cesarmontes__2324,0.9724
